order_id,date,customer_id,product_category,product_price,quantity,payment_method,region,total_amount,month
89,2023-12-10,4364,Books,269.59,2,Credit Card,East,539.18,2023-12
90,2023-05-09,3844,Sports,167.65,4,Cash,West,670.6,2023-05
91,2024-10-09,1194,Books,46.76,1,Debit Card,North,46.76,2024-10
92,2024-04-16,4982,Sports,448.87,2,Debit Card,East,897.74,2024-04
93,2023-03-04,1227,Home & Garden,403.31,2,Cash,South,806.62,2023-03
94,2023-05-19,4502,Electronics,78.37,4,PayPal,North,313.48,2023-05
95,2024-05-13,2459,Home & Garden,390.62,4,Cash,North,1562.48,2024-05
96,2024-08-15,4858,Electronics,316.66,3,Credit Card,West,949.98,2024-08
97,2024-01-27,1460,Clothing,210.48,3,Debit Card,East,631.44,2024-01
98,2024-02-23,1617,Sports,134.47,1,Debit Card,West,134.47,2024-02
99,2023-10-16,4092,Clothing,431.27,1,Cash,South,431.27,2023-10
100,2024-01-14,1063,Clothing,353.09,1,PayPal,South,353.09,2024-01
101,2024-05-04,3212,Electronics,278.39,1,Debit Card,East,278.39,2024-05
102,2023-08-19,3074,Home & Garden,308.69,2,Cash,East,617.38,2023-08
103,2023-02-10,4382,Books,54.62,4,PayPal,East,218.48,2023-02
104,2023-01-28,4059,Electronics,242.22,3,Cash,West,726.66,2023-01
105,2023-05-15,1284,Books,104.91,2,Cash,East,209.82,2023-05
106,2023-07-20,2683,Clothing,112.11,4,Cash,East,448.44,2023-07
107,2023-02-02,3328,Books,334.04,4,Debit Card,West,1336.16,2023-02
108,2023-02-17,1837,Home & Garden,456.52,2,PayPal,South,913.04,2023-02
109,2024-05-17,1830,Electronics,207.84,2,Credit Card,South,415.68,2024-05
110,2024-02-11,2187,Home & Garden,111.8,3,Credit Card,North,335.4,2024-02
111,2024-07-27,4969,Home & Garden,327.89,1,Debit Card,South,327.89,2024-07
112,2023-04-09,3965,Electronics,436.88,1,Debit Card,East,436.88,2023-04
113,2024-06-30,1223,Home & Garden,376.68,3,Cash,South,1130.04,2024-06
114,2024-09-04,1783,Sports,435.69,3,Cash,West,1307.07,2024-09
115,2024-04-06,4217,Sports,272.91,1,PayPal,South,272.91,2024-04
116,2024-10-04,4012,Sports,378.42,2,Cash,South,756.84,2024-10
117,2023-01-05,1949,Books,78.63,1,PayPal,North,78.63,2023-01
118,2023-08-06,4939,Home & Garden,180.65,4,Cash,North,722.6,2023-08
119,2024-05-17,4101,Electronics,200.88,4,Cash,East,803.52,2024-05
120,2024-02-02,1044,Electronics,260.53,3,Credit Card,West,781.59,2024-02
121,2024-01-28,2810,Books,465.25,1,Debit Card,East,465.25,2024-01
122,2023-07-26,1470,Electronics,438.41,1,PayPal,West,438.41,2023-07
123,2023-01-15,3081,Sports,75.92,4,Credit Card,West,303.68,2023-01
124,2024-07-07,3700,Home & Garden,94.67,1,Cash,North,94.67,2024-07
125,2024-04-05,4498,Electronics,185.24,3,Credit Card,South,555.72,2024-04
126,2024-07-28,1829,Electronics,152.46,3,PayPal,South,457.38,2024-07
127,2023-08-29,2909,Clothing,311.24,4,Debit Card,North,1244.96,2023-08
128,2024-07-17,3268,Clothing,452.36,1,Credit Card,East,452.36,2024-07
129,2023-04-06,2891,Clothing,481.52,1,PayPal,South,481.52,2023-04
130,2024-04-29,3581,Home & Garden,330.27,4,Cash,East,1321.08,2024-04
131,2024-02-11,1691,Sports,420.7,2,Credit Card,South,841.4,2024-02
132,2023-08-19,2390,Sports,267.35,2,Debit Card,East,534.7,2023-08
133,2024-10-16,1931,Sports,112.08,1,PayPal,West,112.08,2024-10
134,2023-06-20,1840,Home & Garden,267.1,3,Debit Card,West,801.3,2023-06
135,2024-06-24,4814,Home & Garden,281.99,2,Cash,South,563.98,2024-06
136,2023-02-05,4058,Clothing,373.8,1,Debit Card,East,373.8,2023-02
137,2024-06-08,2938,Electronics,117.74,2,Cash,East,235.48,2024-06
138,2023-06-09,2573,Books,190.47,4,Cash,West,761.88,2023-06
139,2023-08-31,3629,Books,188.37,2,Credit Card,East,376.74,2023-08
140,2023-03-27,4187,Electronics,480.13,2,Cash,North,960.26,2023-03
141,2024-07-31,3286,Clothing,227.53,4,Debit Card,East,910.12,2024-07
142,2024-07-10,4406,Electronics,380.0,3,Credit Card,West,1140.0,2024-07
143,2024-07-27,3488,Electronics,377.9,1,Cash,North,377.9,2024-07
144,2024-10-07,1147,Books,140.12,3,PayPal,North,420.36,2024-10
145,2023-01-28,2032,Clothing,290.22,3,PayPal,East,870.66,2023-01
146,2024-09-11,2311,Home & Garden,448.21,2,Cash,West,896.42,2024-09
147,2024-07-09,1387,Books,242.85,1,Credit Card,West,242.85,2024-07
148,2023-12-06,4121,Home & Garden,473.11,2,Credit Card,West,946.22,2023-12
149,2023-11-27,2873,Clothing,115.08,4,Credit Card,North,460.32,2023-11
150,2024-10-01,4588,Electronics,46.34,3,Debit Card,West,139.02,2024-10
151,2024-05-20,1915,Sports,446.81,3,PayPal,North,1340.43,2024-05
152,2023-12-14,2878,Sports,425.36,4,Cash,North,1701.44,2023-12
153,2024-04-17,3685,Clothing,496.37,1,Cash,South,496.37,2024-04
154,2023-08-19,4658,Sports,342.9,3,PayPal,East,1028.7,2023-08
155,2023-07-09,4748,Home & Garden,468.98,3,Debit Card,West,1406.94,2023-07
156,2023-08-13,1277,Sports,415.21,1,Credit Card,North,415.21,2023-08
157,2024-01-20,2977,Clothing,423.77,2,PayPal,East,847.54,2024-01
158,2024-01-12,2859,Clothing,288.88,4,Cash,North,1155.52,2024-01
159,2023-10-10,4036,Home & Garden,197.36,1,Debit Card,East,197.36,2023-10
160,2024-09-24,4371,Sports,467.93,4,Cash,North,1871.72,2024-09
161,2024-09-19,2825,Sports,221.74,4,Credit Card,West,886.96,2024-09
162,2023-09-16,3636,Electronics,274.02,3,PayPal,South,822.06,2023-09
163,2023-12-25,2833,Books,228.6,1,Credit Card,South,228.6,2023-12
164,2024-03-31,3696,Clothing,286.76,4,Debit Card,South,1147.04,2024-03
165,2024-02-15,1617,Electronics,240.55,2,PayPal,North,481.1,2024-02
166,2024-10-10,2630,Clothing,33.5,4,Credit Card,East,134.0,2024-10
167,2023-11-14,3182,Electronics,442.2,3,Credit Card,West,1326.6,2023-11
168,2023-08-13,1579,Books,227.75,2,Credit Card,West,455.5,2023-08
169,2023-08-22,2170,Electronics,298.58,2,Debit Card,North,597.16,2023-08
170,2024-01-09,1489,Clothing,78.2,1,Credit Card,South,78.2,2024-01
171,2024-08-30,3525,Sports,11.66,2,Cash,North,23.32,2024-08
172,2024-04-16,2182,Clothing,130.19,1,PayPal,East,130.19,2024-04
173,2023-08-21,1383,Home & Garden,355.25,1,PayPal,South,355.25,2023-08
174,2023-04-23,1162,Home & Garden,58.61,2,Credit Card,North,117.22,2023-04
175,2024-05-11,3488,Home & Garden,455.35,1,Debit Card,East,455.35,2024-05
176,2024-03-17,2876,Home & Garden,115.36,1,Cash,South,115.36,2024-03
177,2024-07-17,2212,Books,110.25,2,Cash,West,220.5,2024-07
178,2023-09-25,3462,Sports,98.94,3,PayPal,East,296.82,2023-09
179,2024-05-24,2362,Sports,16.85,4,PayPal,West,67.4,2024-05
180,2024-01-21,2630,Clothing,388.18,1,Cash,East,388.18,2024-01
181,2024-01-22,2204,Electronics,438.77,1,PayPal,South,438.77,2024-01
182,2023-04-23,1287,Clothing,310.94,2,Credit Card,North,621.88,2023-04
183,2024-09-04,2857,Clothing,102.22,4,Cash,North,408.88,2024-09
184,2024-09-16,1186,Clothing,149.79,4,PayPal,North,599.16,2024-09
185,2023-03-22,2907,Clothing,243.2,1,Credit Card,North,243.2,2023-03
186,2023-04-23,2161,Sports,477.63,2,Credit Card,East,955.26,2023-04
187,2023-01-02,1129,Electronics,131.2,3,Cash,North,393.6,2023-01
188,2024-10-03,3241,Clothing,368.51,4,Credit Card,North,1474.04,2024-10
189,2023-08-08,3363,Sports,225.33,3,Cash,East,675.99,2023-08
190,2024-07-19,4856,Clothing,155.95,2,Credit Card,East,311.9,2024-07
191,2023-08-13,2887,Home & Garden,233.4,3,Cash,South,700.2,2023-08
192,2024-01-20,1143,Clothing,44.89,2,Cash,East,89.78,2024-01
193,2024-02-07,1015,Clothing,401.36,1,Cash,West,401.36,2024-02
194,2024-09-29,4373,Books,129.22,3,Cash,South,387.66,2024-09
195,2023-05-10,3470,Home & Garden,365.45,1,Credit Card,South,365.45,2023-05
196,2023-02-22,1244,Electronics,43.49,1,Cash,North,43.49,2023-02
197,2024-02-20,1926,Clothing,478.0,2,PayPal,North,956.0,2024-02
198,2023-09-04,4178,Electronics,104.58,3,Credit Card,West,313.74,2023-09
199,2024-03-14,4159,Home & Garden,442.54,4,Cash,North,1770.16,2024-03
200,2023-07-22,3176,Clothing,406.64,3,Credit Card,East,1219.92,2023-07
201,2023-07-03,1906,Books,484.25,4,Credit Card,East,1937.0,2023-07
202,2023-05-03,1886,Sports,244.17,1,Credit Card,North,244.17,2023-05
203,2024-02-05,1340,Books,366.42,1,Credit Card,North,366.42,2024-02
204,2023-10-21,3051,Books,191.65,2,Cash,East,383.3,2023-10
205,2023-10-07,4398,Sports,100.34,4,Credit Card,South,401.36,2023-10
206,2024-09-01,2433,Sports,227.11,3,PayPal,West,681.33,2024-09
207,2023-07-17,4950,Sports,91.22,2,Credit Card,West,182.44,2023-07
208,2024-05-25,1305,Clothing,491.2,2,Credit Card,South,982.4,2024-05
209,2023-05-24,1907,Electronics,57.16,2,PayPal,West,114.32,2023-05
210,2024-08-31,3654,Electronics,298.71,3,Cash,North,896.13,2024-08
211,2023-07-20,4792,Sports,316.97,2,PayPal,North,633.94,2023-07
212,2023-05-04,4296,Books,273.66,3,Debit Card,North,820.98,2023-05
213,2023-07-06,2371,Home & Garden,334.47,2,PayPal,West,668.94,2023-07
214,2023-11-22,4039,Sports,66.93,4,Cash,South,267.72,2023-11
215,2024-04-08,1320,Books,281.96,1,PayPal,North,281.96,2024-04
216,2023-12-15,1558,Books,150.73,4,Credit Card,South,602.92,2023-12
217,2024-02-07,2204,Clothing,470.69,4,Cash,East,1882.76,2024-02
218,2023-12-12,3665,Clothing,383.42,2,Debit Card,East,766.84,2023-12
219,2024-05-25,3758,Electronics,486.53,4,Cash,East,1946.12,2024-05
220,2023-05-27,2409,Electronics,28.4,4,Credit Card,West,113.6,2023-05
221,2023-05-28,2641,Home & Garden,149.72,4,Debit Card,West,598.88,2023-05
222,2024-05-03,4863,Home & Garden,105.76,2,Cash,North,211.52,2024-05
223,2024-10-01,4843,Home & Garden,15.47,3,Cash,East,46.41,2024-10
224,2024-07-04,2131,Home & Garden,128.74,1,Credit Card,South,128.74,2024-07
225,2023-12-04,3578,Books,342.6,1,PayPal,West,342.6,2023-12
226,2024-10-02,3457,Books,123.23,3,PayPal,South,369.69,2024-10
227,2024-04-17,4367,Electronics,259.41,3,Debit Card,South,778.23,2024-04
228,2023-05-31,1817,Clothing,445.03,4,Credit Card,North,1780.12,2023-05
229,2024-02-19,2194,Clothing,349.94,1,Credit Card,North,349.94,2024-02
230,2023-10-25,4402,Sports,203.37,3,PayPal,South,610.11,2023-10
231,2024-09-02,3540,Books,192.51,4,PayPal,South,770.04,2024-09
232,2023-09-20,4266,Home & Garden,233.31,1,Debit Card,South,233.31,2023-09
233,2023-05-24,1011,Home & Garden,96.75,2,PayPal,South,193.5,2023-05
234,2023-12-12,1194,Sports,320.66,2,Debit Card,East,641.32,2023-12
235,2024-09-15,3537,Clothing,188.43,1,Cash,South,188.43,2024-09
236,2024-07-25,3842,Home & Garden,427.66,1,Debit Card,West,427.66,2024-07
237,2023-01-02,3928,Clothing,380.71,2,Debit Card,North,761.42,2023-01
238,2023-10-31,3229,Sports,309.15,2,Debit Card,West,618.3,2023-10
239,2023-09-11,4009,Clothing,188.46,1,Cash,North,188.46,2023-09
240,2024-10-13,4888,Clothing,112.87,4,PayPal,North,451.48,2024-10
241,2024-03-28,1655,Clothing,390.31,3,Debit Card,North,1170.93,2024-03
242,2023-02-06,2921,Home & Garden,248.34,3,PayPal,West,745.02,2023-02
243,2023-06-09,4387,Electronics,120.13,1,Debit Card,North,120.13,2023-06
244,2023-01-09,3741,Books,105.64,3,PayPal,South,316.92,2023-01
245,2023-08-21,3077,Clothing,91.05,2,Debit Card,South,182.1,2023-08
246,2023-04-09,2619,Clothing,390.81,2,PayPal,East,781.62,2023-04
247,2024-10-20,4749,Clothing,122.2,3,Credit Card,East,366.6,2024-10
248,2023-07-27,4867,Electronics,268.05,1,Cash,East,268.05,2023-07
249,2023-05-11,4864,Sports,231.26,2,Debit Card,South,462.52,2023-05
250,2024-02-08,2119,Home & Garden,294.01,4,Cash,West,1176.04,2024-02
251,2023-06-01,4452,Electronics,439.81,4,Debit Card,East,1759.24,2023-06
252,2023-02-23,1777,Clothing,435.2,2,Credit Card,South,870.4,2023-02
253,2023-04-30,1443,Electronics,231.03,2,Credit Card,North,462.06,2023-04
254,2024-09-19,1297,Electronics,17.53,3,Cash,West,52.59,2024-09
255,2024-08-09,1807,Electronics,218.96,1,Debit Card,West,218.96,2024-08
256,2024-09-16,2760,Sports,307.03,3,PayPal,South,921.09,2024-09
257,2024-02-24,1844,Books,283.3,1,Debit Card,South,283.3,2024-02
258,2024-02-26,2015,Home & Garden,329.15,4,PayPal,North,1316.6,2024-02
259,2023-04-14,2384,Sports,85.5,4,Cash,North,342.0,2023-04
260,2023-09-11,2397,Sports,326.8,1,Cash,North,326.8,2023-09
261,2023-08-15,1553,Books,99.5,3,Credit Card,West,298.5,2023-08
262,2023-04-22,3350,Sports,377.76,2,PayPal,West,755.52,2023-04
263,2024-05-24,1420,Electronics,176.15,1,Debit Card,East,176.15,2024-05
264,2024-04-17,2269,Electronics,357.85,3,Credit Card,East,1073.55,2024-04
265,2023-04-09,4791,Clothing,33.45,4,Cash,East,133.8,2023-04
266,2023-06-02,2260,Sports,209.85,2,Credit Card,West,419.7,2023-06
267,2023-12-04,4605,Clothing,355.47,4,Debit Card,North,1421.88,2023-12
268,2023-06-12,1184,Home & Garden,121.17,1,Debit Card,East,121.17,2023-06
269,2023-06-10,1467,Electronics,399.69,4,Cash,North,1598.76,2023-06
270,2024-08-02,3801,Home & Garden,319.08,4,Credit Card,North,1276.32,2024-08
271,2024-02-02,3410,Books,297.91,1,PayPal,North,297.91,2024-02
272,2023-10-04,2306,Electronics,183.24,2,PayPal,East,366.48,2023-10
273,2024-05-18,2576,Home & Garden,246.4,1,PayPal,East,246.4,2024-05
274,2024-01-27,1335,Books,302.7,3,Debit Card,North,908.1,2024-01
275,2023-05-15,3209,Home & Garden,241.51,1,Credit Card,East,241.51,2023-05
276,2023-07-14,4231,Books,352.17,1,PayPal,South,352.17,2023-07
277,2024-02-05,2497,Books,222.51,2,Credit Card,East,445.02,2024-02
278,2024-10-01,4672,Electronics,109.11,3,Cash,North,327.33,2024-10
279,2023-02-02,4393,Clothing,114.83,4,PayPal,North,459.32,2023-02
280,2024-04-04,3059,Books,12.84,4,Credit Card,West,51.36,2024-04
281,2024-04-14,2447,Books,157.47,4,Debit Card,West,629.88,2024-04
282,2024-01-10,4144,Electronics,376.97,4,Cash,North,1507.88,2024-01
283,2023-01-22,1587,Clothing,399.14,2,Cash,South,798.28,2023-01
284,2023-02-07,2881,Sports,109.21,3,Cash,West,327.63,2023-02
285,2023-08-18,1200,Sports,479.93,2,Cash,North,959.86,2023-08
286,2023-12-31,1521,Clothing,256.18,1,Debit Card,West,256.18,2023-12
287,2024-07-16,2887,Home & Garden,459.32,3,Debit Card,West,1377.96,2024-07
288,2024-03-13,3552,Electronics,356.31,3,PayPal,North,1068.93,2024-03
289,2023-10-10,4809,Clothing,363.99,4,Debit Card,East,1455.96,2023-10
290,2023-01-27,2711,Sports,51.67,4,Debit Card,South,206.68,2023-01
291,2023-08-14,1787,Books,117.8,4,Cash,East,471.2,2023-08
292,2023-10-04,4110,Sports,14.32,4,Debit Card,North,57.28,2023-10
293,2024-08-31,1059,Books,360.9,1,Cash,North,360.9,2024-08
294,2023-10-11,1577,Electronics,178.77,4,Credit Card,South,715.08,2023-10
295,2024-04-25,1320,Books,395.46,2,Credit Card,North,790.92,2024-04
296,2024-03-28,2458,Clothing,176.08,3,Credit Card,West,528.24,2024-03
297,2024-10-20,4707,Books,411.47,1,Credit Card,South,411.47,2024-10
298,2024-05-30,4747,Home & Garden,74.04,1,Credit Card,East,74.04,2024-05
299,2024-06-30,4479,Clothing,94.95,3,Credit Card,South,284.85,2024-06
300,2023-07-11,3037,Electronics,177.03,3,Credit Card,East,531.09,2023-07
301,2023-02-18,1922,Clothing,210.16,3,Cash,North,630.48,2023-02
302,2024-05-26,2409,Home & Garden,180.86,1,Cash,East,180.86,2024-05
303,2023-01-17,2694,Electronics,384.19,2,Cash,East,768.38,2023-01
304,2023-06-21,1568,Sports,57.51,2,Cash,East,115.02,2023-06
305,2023-08-08,2101,Home & Garden,182.1,3,Debit Card,South,546.3,2023-08
306,2023-06-07,4265,Electronics,420.25,1,Debit Card,West,420.25,2023-06
307,2024-04-21,4356,Books,42.73,4,PayPal,East,170.92,2024-04
308,2023-02-15,1526,Clothing,471.75,1,Debit Card,South,471.75,2023-02
309,2024-01-08,3571,Electronics,493.3,3,Cash,South,1479.9,2024-01
310,2024-06-01,3660,Clothing,53.4,1,Cash,West,53.4,2024-06
311,2023-04-09,4227,Books,152.72,1,Credit Card,South,152.72,2023-04
312,2023-02-06,4411,Electronics,192.48,1,Credit Card,North,192.48,2023-02
313,2023-10-07,3172,Sports,390.43,4,PayPal,North,1561.72,2023-10
314,2023-12-15,1870,Home & Garden,302.0,3,Debit Card,North,906.0,2023-12
315,2024-05-11,1279,Electronics,325.74,3,Cash,West,977.22,2024-05
316,2023-10-29,3964,Books,381.18,3,Debit Card,South,1143.54,2023-10
317,2023-06-30,4977,Electronics,67.81,2,PayPal,North,135.62,2023-06
318,2024-08-29,3669,Clothing,418.27,2,Credit Card,East,836.54,2024-08
319,2023-04-09,3893,Electronics,355.75,3,Cash,South,1067.25,2023-04
320,2023-04-26,2892,Sports,292.9,1,Credit Card,North,292.9,2023-04
321,2023-07-10,4729,Electronics,445.97,1,Cash,South,445.97,2023-07
322,2023-09-10,2751,Home & Garden,353.15,3,Credit Card,North,1059.45,2023-09
323,2023-06-10,4981,Electronics,108.83,4,Credit Card,East,435.32,2023-06
324,2023-09-13,1673,Clothing,220.58,4,PayPal,South,882.32,2023-09
325,2023-11-19,2151,Electronics,252.08,1,Debit Card,North,252.08,2023-11
326,2023-05-08,3361,Sports,37.06,1,Credit Card,North,37.06,2023-05
327,2023-01-18,1331,Books,477.77,2,Cash,East,955.54,2023-01
328,2024-07-19,2173,Electronics,73.0,4,Debit Card,East,292.0,2024-07
329,2024-07-23,3039,Electronics,351.76,1,Debit Card,North,351.76,2024-07
330,2023-11-19,2477,Home & Garden,258.05,1,Credit Card,North,258.05,2023-11
331,2024-09-17,1035,Sports,22.56,3,Credit Card,West,67.68,2024-09
332,2023-10-15,2708,Books,463.13,2,Credit Card,West,926.26,2023-10
333,2024-09-30,2443,Clothing,427.4,4,Debit Card,South,1709.6,2024-09
334,2023-06-04,4093,Electronics,266.89,4,PayPal,South,1067.56,2023-06
335,2024-05-04,3253,Books,122.18,2,Credit Card,West,244.36,2024-05
336,2024-01-21,3686,Clothing,69.6,1,Debit Card,North,69.6,2024-01
337,2023-04-14,3895,Sports,188.06,4,Debit Card,East,752.24,2023-04
338,2024-01-28,2379,Sports,135.16,4,Cash,South,540.64,2024-01
339,2023-09-03,1439,Books,258.28,4,Credit Card,North,1033.12,2023-09
340,2023-06-25,3776,Clothing,483.54,3,PayPal,East,1450.62,2023-06
341,2023-02-08,2119,Sports,291.73,2,Cash,East,583.46,2023-02
342,2024-04-21,3988,Books,446.07,4,Credit Card,North,1784.28,2024-04
343,2024-06-21,1163,Sports,328.93,2,Cash,North,657.86,2024-06
344,2024-02-12,1147,Sports,242.87,1,Credit Card,South,242.87,2024-02
345,2024-06-08,4601,Sports,428.76,2,Cash,West,857.52,2024-06
346,2024-05-20,3341,Home & Garden,240.97,3,PayPal,North,722.91,2024-05
347,2023-02-05,1194,Clothing,435.63,3,Cash,West,1306.89,2023-02
348,2023-01-20,1662,Books,152.87,2,Cash,South,305.74,2023-01
349,2023-11-17,1479,Books,73.12,3,Cash,West,219.36,2023-11
350,2024-05-26,4948,Clothing,429.1,4,Credit Card,West,1716.4,2024-05
351,2024-02-04,1122,Clothing,297.83,3,Credit Card,East,893.49,2024-02
352,2024-10-15,2423,Clothing,445.66,1,PayPal,South,445.66,2024-10
353,2024-04-15,3746,Clothing,469.54,2,Cash,North,939.08,2024-04
354,2023-05-23,1964,Electronics,36.28,2,Debit Card,West,72.56,2023-05
355,2023-04-02,4523,Books,255.47,1,Cash,South,255.47,2023-04
